Dpt;M. Emmanuel MACRON;Mme. Nathalie ARTHAUD;M. Fabien ROUSSEL;M. Jean LASSALE;Mme. Marine LEPEN;M. Eric ZEMMOUR;M. Jean-Luc MELENCHON;Mme. Anne HIDALGO;M. Yannick JADOT;Mme. Valerie PECRESSE;M. Philippe POUTOU;M. Nicolas DUPONT-AIGNAN;Abstentions;Blancs;M. Emmanuel MACRON 2;Mme. Marine LEPEN 2;Part immigration;Mediane du niveau vie;Taux de pauvrete-Ensemble;Part des agriculteurs exploitants;Part des artisans comm. chefs entr.;Part des cadres professions intellect. superieures;Part des professions intermed.;Part des employes;Part des ouvriers;0 a 19ans;20 a 39ans;40 a 59ans;60 a 74ans;75 ans et plus
Vendee;149587;2647;8153;13039;97280;25663;60524;7244;19753;22534;3621;9664;120547;7312;244494;150772;3;22790;9,1;2,6;6,9;9;23;27,5;30,4;157694;133999;179800;148136;84492
Vienne;67831;1715;6412;7741;54214;11939;49162;4542;10727;9959;2315;5095;68304;4053;125138;83024;5;22220;14,7;2;5,8;13,4;25;30,2;22,3;100948;103220;108025;80703;47972
Haute-Vienne;54951;1457;8030;9973;45357;10796;43137;5654;7877;9544;1787;3555;55484;3787;103329;71263;7,5;22140;16,1;2,4;6,3;13,1;25,8;29;21,8;77196;79748;93072;74823;45887
Vosges;51432;1569;3847;7203;65646;13184;32655;3114;7562;9344;1986;6152;68914;3431;91542;100853;4,9;21550;15,3;1,7;6,8;9,1;23;29,1;28,9;75879;70996;92972;76494;41523
Yonne;42617;1203;4023;5356;55164;12941;31601;2286;5917;9322;1487;4594;57549;2715;78038;83170;6,8;21940;14,9;2,4;6,4;9,7;22,7;29,2;28,5;73506;64256;85612;68261;39382
Territoire de Belfort;16768;560;1485;2000;19061;5583;14601;1052;2798;3322;603;1821;22238;1242;31987;30202;10;22920;16,3;0,3;5;16,1;24;27,3;25,7;32219;31863;35730;24537;13568
Essonne;164503;2831;13480;11610;105862;39284;167310;7944;29562;33046;4306;15203;192200;8954;338569;178908;17,6;25040;13,9;0,1;4,5;22,4;28;27,5;16;352698;335155;343667;183079;97820
Hauts-de-Seine;287494;2306;13170;11260;64812;62761;199640;10518;47103;62231;3704;9743;208790;11841;552124;134685;19;29720;12,4;0;4,9;40,6;23,7;21,5;8;398146;457931;437983;219125;123905
Seine-Saint-Denis;110118;2756;11642;6805;64543;27969;266632;5890;19352;17481;3663;6300;239927;7607;326057;116225;31,6;19020;28,4;0;5,1;15,6;23;32,3;20,9;482107;472292;426987;204532;87727
Val-de-Marne;171409;2504;14954;8944;69599;43430;192427;8276;31904;32522;3730;9359;195409;8501;376204;128873;22,7;24270;17,2;0;5;26,1;25,9;27,7;13,6;358920;394535;369562;194560;102827
Val-d Oise;138166;2392;10060;9101;91081;37564;175666;6094;20710;26403;3352;8996;192853;8027;299829;153446;21,1;23290;17,7;0,1;4,9;19;27,5;29,6;17,1;358589;328905;326706;174280;77991
Guadeloupe;18137;1084;668;1033;24204;3098;75862;2266;1927;3979;713;2114;174592;2719;40229;92106;5,5;19770;26,8;1,4;8,8;8,9;22,2;33,5;18,5;89217;72234;106454;74734;35837
Martinique;20043;1447;747;1162;16495;3153;65292;3935;1978;4731;977;2989;174588;4001;46918;73000;2,7;17070;36,1;1,2;7;9,4;23,5;34,5;19,9;74848;67122;99158;74089;36988
Guyane;5101;297;246;516;6334;1573;18143;535;940;997;462;717;65754;825;13834;21437;28,1;10990;53;1,2;5,3;8,8;18,8;25,7;21,4;121973;81428;62769;23074;6814
La Reunion;62542;3538;3074;4844;85770;13070;139604;5549;7994;9738;2705;8338;313159;7361;147297;216967;2,5;16520;36;1,4;5,7;8,4;21,3;34;22,2;253620;204152;238208;126022;47991
